dataid,HVAC,Laundry,Garage,Furnace,Lighting,Kitchen,Rooms
2005,1510.0427666666665,169.45301666666668,0.0,1059.6496333333334,27.03806666666667,1326.9805166666667,473.8626666666667
2462,714.7025166666667,0.0,0.0,0.0,992.4549166666667,179.67381666666668,795.1869333333332
2542,6617.186466666666,108.12271666666666,0.0,0.0,0.0,972.2447666666666,10109.798
2933,0.0,500.378,0.0,0.4536833333333333,1332.6099166666668,174.86896666666664,466.532
3485,1397.4207333333334,36.57926666666666,0.0,626.2187,0.14928333333333335,1700.8826833333333,23.746783333333333
3841,1250.8956333333333,82.8104,0.0,0.0,0.0,1039.9991166666669,2161.9583833333336
4399,2823.345883333334,414.13464999999997,0.0,2007.5717000000002,83.27173333333333,526.0938166666667,2023.92635
5265,717.4793999999999,0.0,0.0,236.38218333333333,1171.4493166666666,189.6549166666667,37.08925000000001
6820,1.1524166666666666,2.2947,0.0,0.0,2.22165,1.5632333333333333,4.839883333333334
7246,12.083983333333332,207.37893333333332,0.0,0.0,4131.776883333334,36.04968333333333,0.016383333333333333
7352,0.0,1451.4915333333333,118.48048333333331,0.0,4489.443833333334,914.7883,3657.0390166666666
7624,2284.9053666666664,140.9752333333333,0.0,639.8025166666666,1027.8216333333332,871.4205833333332,720.3516333333333
9765,344.11011666666667,170.91058333333334,0.0,0.0,13.575616666666667,534.3707166666667,800.2975166666668
9783,0.0,72.5996,0.0,0.0,447.3946666666667,134.16358333333332,1724.2872166666666
10323,427.49075,37.219766666666665,0.0,86.78063333333333,0.0,140.93061666666665,147.11723333333333
10458,0.0,0.0,0.0,0.0,0.9119666666666667,8.736600000000001,10.193283333333333
10532,5932.213700000001,0.0,0.0,1939.9674166666666,0.0,1314.0197333333333,7115.806483333331
10686,513.0236833333333,107.66326666666669,0.0,1510.7732166666667,4864.422033333333,4047.9528333333333,3180.7753999999995
11744,2012.7922666666666,213.24726666666666,0.0,417.1745833333334,0.0,150.87591666666668,488.46200000000005
