dataid,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
2005,,,,,,,,,,,398.1286166666667,467.2440333333334,502.7223499999999,809.8184333333334,1035.4930499999998,726.1441333333335,578.6743666666666,452.38755,385.29055,285.58344999999997
2462,,,,,,,,,,,727.6195666666665,715.403,965.9339,1219.3159166666667,1654.9652500000004,1129.0606999999998,866.7749833333332,661.3922833333334,786.2681833333332,900.9739666666667
2542,,,,,,,1635.0267666666668,3115.9719666666665,4062.6775,2719.9591666666665,2519.8108666666662,1708.9023166666666,,,,,1730.0197666666663,1463.3103166666667,1823.6688666666666,2450.12285
2933,,,,,,,,,,,,639.9142666666665,649.8266666666667,844.2409833333332,929.31285,677.9170166666667,674.8693499999999,740.1686333333333,1243.4357,2014.80595
3485,,,,,,,,,,,422.1194333333333,313.3360666666666,327.53245000000004,645.2104833333332,1325.8895333333332,782.2708666666668,691.3442166666666,547.3694499999999,653.7380166666667,656.4857666666667
3841,,,,,,,,,,405.27773333333323,285.60699999999997,221.65383333333332,284.1178333333334,497.04484999999994,894.5355833333332,555.62925,420.33223333333336,492.35869999999994,454.5382,490.3902833333333
4399,,,,,,,,,,,790.0608499999998,877.7011500000001,1167.1818333333333,1360.2938166666668,1717.8798000000004,1232.20365,1198.293016666667,979.8329833333333,989.1369833333332,1181.3243833333331
5265,,,,,,,,,,,372.6678166666667,317.8476833333333,388.2994499999999,500.37426666666664,632.1976833333333,,,,,
6820,,,,,,,,,,,,,,,,,,378.45323333333334,810.9632333333333,781.6373
7246,,,,,,,906.0896833333334,971.8973000000001,1073.3600166666668,823.9164000000001,1136.9946499999999,889.4138333333333,767.3967000000001,583.49535,432.17835,499.92503333333326,497.76345,849.9313833333334,1284.8539333333333,1363.3404833333334
7352,1187.0113499999998,1702.0570166666669,1918.0172166666664,1928.1249166666669,1482.2501,1153.9415666666669,,,,909.5254999999999,1006.5015833333332,1155.5962499999998,1524.1836666666668,1744.9678000000001,,,,,,
7624,,,,,,,,,,,365.40886666666665,455.7383833333333,631.6867500000001,1013.6891833333333,1379.8399500000005,946.1000666666666,796.8442,379.0251999999999,357.2898666666667,399.2541166666667
9765,,,,,,,514.7683,437.44854999999995,400.1316333333333,313.6474,363.4128333333333,,,,,,,,,
9783,,,,,,,,,,,1755.20415,769.6225999999999,,,,,,,,
10323,,,,,,,,,,,837.6751833333334,436.70171666666664,,,,,,,,
10458,,,,,,,,,,,,,,,,,,357.3835,532.6426333333333,630.5040166666668
10532,1116.7836666666665,1598.67095,1853.1845833333334,1516.7472500000003,1011.1480166666666,711.1050333333333,603.0462833333333,656.00545,696.9729833333333,582.82235,582.7731,575.16165,654.71105,1020.2902166666665,1451.372516666667,1164.8534666666667,860.0869166666665,565.8491166666668,721.7701166666667,713.5891999999999
10686,644.5050499999999,978.4582333333334,999.9784833333332,1025.8187500000001,738.5989666666667,736.41815,742.3721333333333,1209.4906499999997,1470.0904500000001,901.1030833333333,880.4894166666668,637.4715500000001,572.4806000000001,701.6037333333336,945.4841000000001,630.1004166666667,583.1168166666666,510.24500000000006,771.7507333333334,1021.3258666666668
11744,,,,,,,,,,,343.2907666666667,283.2352666666667,467.45343333333335,1460.3397333333335,,,,,,
